SeriesInstanceUID,completion_status
1.3.6.1.4.1.14519.5.2.1.6279.6001.141365756818074696859567662357,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.272961322147784625028175033640,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.334422875695728375365180725669,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.125481956446228056153445932229,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.332829333783605240302521201463,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.935486179338862584391625697780,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.138813197521718693188313387015,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.503980049263254396021509831276,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.125641282114031333921855664282,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.126739648830679105206897886262,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.116851598584728635491816908135,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.280125803152924778388346920341,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.122914038048856168343065566972,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.980970915982642197314267631398,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.129466644298158473520902418919,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.338114620394879648539943280992,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.910435939545691201820711078950,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.227175413450808955880893100766,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.493562949900213760403901722902,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.619372068417051974713149104919,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.142026812390984321013050559882,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.210102868760281756294235082201,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.126797645619189548095014105796,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.188744668142367349818410044874,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.232841681445928680425330987749,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.272348349298439120568330857680,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.774060103415303828812229821954,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.270306633918898619338449637639,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.149484561117305919058718221926,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.286061375572911414226912429210,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.416701701108520592702405866796,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.212971480103404437607456750417,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.154145395981214039394434950814,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.328789598898469177563438457842,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.239368516910061467349404750170,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.316239505662510081371960581239,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.174907798609768549012640380786,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.140614242738455943374226148817,success
1.3.6.1.4.1.14519.5.2.1.6279.6001.747803439040091794717626507402,success
